OriginalFoodCode,OriginalFoodName,EnglishFoodName,ScientificFoodName,OtherFoodNames,OriginalFoodGroupCode,FoodGroupIS1,FoodGroupIS2,FoodGroupIS3,CodexFoodStandards,ArticleNumber,E_number,INS_code,LangualCodes,CODEXAdditives,CODEXFood,CODEXContaminants,FAOBalanceSheet,CIAAFood,EuroCode2,AgriculturalConditions,Cuisine,EdiblePortion,WastePortion,NatureofEdiblePortion,NatureofWaste,TypicalServingSize,TypicalWeightperPiece,Colour,FinalPreparation,SpecificGravity,NitrogenProteinFactor,FattyAcidFactor,GenericImage,SpecificImage,Producer,Distributor,Retailer,AreaOfOrigin,AreaOfProcessing,AreaofConsumption,WebPublishReady,ListOfIngredients,Remarks,DateOfGeneration,GeneratedBy,DateOfUpdate,UpdatedBy
1163,"BRAUÐ, rúgbrauð, danskt","Bread, ryebread, Danish style",,,04.04,4,4,,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,Myllan,,,,,,J,,,2009-03-23 00:00:00.0,ÓR,2011-05-20 03:20:35.0,
0118,UFSALÝSI,Fish liver oil,,,10.02,10,2,13,,,,,A0129 A0811 B1835 C0301 E0123 F0014 G0003 H0197 H0206 H0270 J0131 J0173 K0031 M0134 N0040 P0024 P0124 R0135,,,,,,,,,100,0,,,,,,,,6.250,0.956,,,,,,,,,J,,Hreinsað meðalalýsi,1989-08-23 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
1249,"SÚKKULAÐI, suðusúkkulaði, 70-85% kakóþurrefni","Chocolate, dark, 70-85% cocao solids",,,11.03,11,3,,,,,,,,,,,,,,,100,,,,,,,,,0.000,0.000,,,,,,,,,J,,,2010-06-25 08:36:56.877,,2011-03-15 05:46:14.0,
0469,"HVÍTLAUKUR, hrár","Garlic, raw",Allium sativum,,05.01,5,1,33,,,,,A0113 A0857 B1233 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,,,,,,,,,79,21,,,,,,,,6.250,0.700,,,,,,,,,J,,,1996-06-10 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0415,"GÆSIR, kjöt án skinns, hrátt","Goose, flesh only, raw",Anser anser,,07.06,7,6,10,,,,,A0273 A0795 B1253 C0268 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024,,,,,,,,,75,25,,,,,,,,6.250,0.000,,,,,,,,,J,,,1996-09-06 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0792,"KÚRBÍTUR, hrár","Zucchini, raw",Curcubita pepo,,05.02,5,2,33,,,,,A0152 A0826 B1462 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024,,,,,,,,,88,12,,,,,,,,0.000,0.000,,,,,,,,,J,,,1996-06-26 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0103,"KJÚKLINGABITAR, djúpsteiktir","Chicken pieces, breded, deep fried",,,07.06,7,6,10,,,,,A0273 A0799 B1457 C0265 E0133 F0014 G0029 H0003 H0188 J0120 K0003 M0001 N0001 P0024,,,,,,,,,62,38,,,,,,,,6.250,0.920,,,,,,,,,J,,Með raspi. Frá skyndibitastöðum.,1996-11-22 00:00:00.0,ÓR,2010-01-25 08:58:42.0,
0205,"GRÆNKÁL, hrátt","Kale, raw",Brassica oleracea laciniata,,05.02,5,2,33,,,,,A0152 A0826 B1281 C0200 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024,,,,,,,,,73,27,,,,,,,,6.250,0.800,,,,,,,,,J,,Hrátt,1993-03-26 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
1021,"SVÍNALUNDIR, hráar","Pork tenderloin, raw",,,07.03,7,3,,,,,,A0150 A0794 B1136 C0270 E0150 F0003 G0003 H0247 J0003 K0001 M0001 N0001 P0024 Z0106,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,J,,,2001-05-24 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0681,"HROSSABJÚGU, hrá","Horse sausage, raw",,,07.08,7,8,11,,,,,A0221 A0798 B1229 C0103 E0147 F0003 G0003 H0118 J0131 K0003 M0001 N0004 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.920,,,,,,,,,J,,,1992-01-10 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0619,TEBOLLUR,"Cookie, tebolla",,,04.06,4,6,21,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,N,,,1991-12-08 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0540,"KJÖTBOLLUR, farsbollur, steiktar","Meat balls, fried",,,07.08,7,8,53,,,,,A0150 A0799 B2243 C0269 E0147 F0014 G0025 H0151 H0184 H0186 H0306 J0131 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,M. steikingafeiti. Uppskr. S193,1991-05-26 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
