0479	0014	0,
1016	0011	1,5
0915	0033	50
0143	0024	0,035
0690	0024	0,03
0388	0006	0
0451	0008	0,
0585	0011	7,5
0623	0010	59,4
0665	0009	50
0586	0032	0,
0483	0002	1,6
0775	0039	0,44
0159	0137	0,09
0168	0011	0
0914	0138	0,3
0531	0031	7,33
0313	0014	0,
1070	0036	50
0920	0023	0,9
1079	0001	7,0
1250	0015	2,59
1171	0028	0,19
0111	0006	0,
1169	0034	58
0217	0039	2,99
0274	0015	0,9
0503	0002	33,
0106	0003	1,4
0590	0011	0,3
1176	0041	6,9
0346	0037	141,
0483	0044	8,8
0925	0002	0,2
0984	0017	74,8333
0351	0002	12,3
0132	0036	8,
0821	0008	0,20
1110	0010	0
0298	0036	133,
1079	0029	24
1181	0039	0,364
0257	0032	0
0179	0001	3,9
1072	0035	14
0114	0016	84,3
0685	0040	0,08
0079	0001	10,9
0129	0002	0,0
0518	0024	0,116
1240	0036	4,6
1244	0021	0,207
1169	0005	32
0742	0004	0,0
1099	0034	164
1250	0035	251
0241	0013	0,
0001	0039	1,44
1191	0001	0,1
0367	0138	0,24
1122	0008	0,4
0031	0011	0,
0451	0038	0,70
0955	0036	400
0338	0137	0,63
1110	0032	0
0053	0009	0
0770	0028	0,
0547	0037	370
0690	0001	4,9
0214	0016	92,7
0364	0033	20,
0640	0035	25
0984	0024	0,08
0006	0016	3,0
0419	0038	1,86
0547	0033	14
0811	0024	0,30
1143	0031	0,1
0592	0031	0
0454	0028	0,79
0339	0041	1,3
0341	0008	0,01
0942	0001	1,4
0770	0011	99,9
0257	0033	110,
0129	0003	0,0
0121	0038	12,1
1250	0137	33
0789	0014	0,
0490	0035	12,7
0871	0028	0,26
0876	0020	0
0690	0138	2
0255	0021	0,47
0135	0137	25,09
1125	0034	210
0105	0029	2
0690	0016	47,4
0919	0013	6,5
1022	0044	16,5
0750	0036	1720,
0001	0138	0,86
0894	0008	0,25
0950	0006	0
0445	0008	0
0352	0032	0
1171	0012	0
0685	0041	1,2
1087	0013	0
0856	0012	0,
1022	0017	0
0377	0036	32,0
0062	0023	0,05
0683	0011	0,6
0227	0036	101,
0185	0044	1,9
0421	0041	0,5
0062	0012	0,
0097	0005	0,4
0820	0138	0
0179	0015	0,9
1070	0033	5
0274	0036	254,
1070	0028	0
0179	0009	16
1170	0013	0,6
0586	0005	14,1
0461	0017	0
1237	0033	24
0310	0039	0,34
0373	0015	0,3
0185	0014	0,
0642	0034	90,
0179	0016	86,3
0811	0040	0,05
1196	0009	4
0719	0002	7,
0751	0001	31,4
0174	0032	0,6
0086	0024	0,180
0419	0029	27,8
1022	0011	0
0965	0011	10
0585	0002	5
0310	0003	1,5
1016	0006	0
0483	0031	0,
0640	0032	1,4
0455	0008	0
0179	0039	0,48
0283	0004	12,0
1104	0035	229
0031	0036	51
0200	0035	11,
0168	0004	8,2
0352	0036	409
0789	0034	10,
0241	0036	993
0849	0001	25,0
0351	0034	204
0445	0033	6,
1237	0005	0,071
0351	0024	0,211
0059	0033	7,41
0959	0004	7,2
0283	0017	103,75
0525	0029	30
0777	0012	0,
0442	0008	0,
0539	0002	16,9
1236	0138	0,05
1012	0017	1,875
0807	0006	0
0726	0020	7,5
0506	0010	45,2
0274	0029	20,
0455	0013	0,
0883	0040	0
0118	0017	10000
0966	0033	0
0751	0037	519
0203	0039	0,20
0346	0036	610,
0088	0035	19
0760	0010	0,
0704	0029	0
0255	0038	1,43
0388	0029	0,
0474	0038	0,40
1099	0039	0,82
0001	0034	329
0871	0014	0,
0254	0004	3,5
0747	0036	532
0837	0010	47,2
0185	0036	200,
0374	0037	172,
0217	0037	270,
0429	0010	21,0
0856	0010	4,0
0665	0011	0,
1072	0014	0
0683	0005	0,
0174	0013	0,2
0438	0024	0,003
1079	0032	6
0154	0021	0,60
0114	0023	0,05
0531	0016	57,1
1121	0044	5,0
0255	0004	5,0
0461	0014	0,
0747	0010	0,
0219	0009	70
0154	0138	0,20
0950	0017	82,5
0479	0029	100,
0154	0028	0,090
0200	0041	0,5
0339	0003	0,2
0623	0038	4,0
0474	0023	0,
0915	0008	0,05
0984	0012	0
0310	0032	0,
0950	0009	0
0318	0044	4,65
0132	0023	0,
0697	0037	255
0586	0017	0
0097	0038	3,63
0959	0037	250
0353	0037	161,
0180	0038	0,035
0309	0029	3
0845	0028	0,04
0708	0004	0,
0252	0006	0,
0789	0006	0,
0438	0008	0,
1087	0031	0,20
0789	0001	0,5
0649	0024	0,045
0085	0032	0,
1236	0012	0
0910	0039	0,3
0419	0016	52,0
0925	0032	0
0960	0012	51,1
0592	0138	0,3
1012	0004	0,05
